sample_name	ligation_id	organism	isolate	tissue	sex	collection_date	dev_stage
APCL13_612_L0883	L0883	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_615_L0884	L0884	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_616_L0885	L0885	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_618_L0886	L0886	Amphiprion clarkii	not applicable	tail fin	male	2013-06-04	adult
APCL13_624_L0887	L0887	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_636_L0888	L0888	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_638_L0889	L0889	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_644_L0890	L0890	Amphiprion clarkii	not applicable	tail fin	female	2013-06-04	adult
APCL13_649_L0891	L0891	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL14_002_L0892	L0892	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-07	juvenile
APCL14_017_L0893	L0893	Amphiprion clarkii	not applicable	tail fin	male	2014-06-10	adult
APCL14_064_L0894	L0894	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_065_L0895	L0895	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_067_L0896	L0896	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_071_L0897	L0897	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_075_L0898	L0898	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_076_L0899	L0899	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_077_L0900	L0900	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_110_L0901	L0901	Amphiprion clarkii	not applicable	tail fin	female	2014-06-16	adult
APCL14_111_L0902	L0902	Amphiprion clarkii	not applicable	tail fin	male	2014-06-16	adult
APCL14_114_L0903	L0903	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-16	juvenile
APCL14_115_L0904	L0904	Amphiprion clarkii	not applicable	tail fin	male	2014-06-16	adult
APCL14_123_L0905	L0905	Amphiprion clarkii	not applicable	tail fin	female	2014-06-16	adult
APCL14_129_L0906	L0906	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-16	juvenile
APCL14_143_L0907	L0907	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-16	juvenile
APCL14_166_L0912	L0912	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_175_L0913	L0913	Amphiprion clarkii	not applicable	tail fin	male	2014-06-17	adult
APCL14_183_L0914	L0914	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_200_L0915	L0915	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_208_L0916	L0916	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_209_L0917	L0917	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_040_L0918	L0918	Amphiprion clarkii	not applicable	tail fin	female	2014-06-12	adult
APCL14_041_L0919	L0919	Amphiprion clarkii	not applicable	tail fin	male	2014-06-12	adult
APCL14_052_L0920	L0920	Amphiprion clarkii	not applicable	tail fin	male	2014-06-12	adult
APCL14_060_L0921	L0921	Amphiprion clarkii	not applicable	tail fin	female	2014-06-12	adult
APCL14_088_L0922	L0922	Amphiprion clarkii	not applicable	tail fin	female	2014-06-13	adult
APCL14_095_L0923	L0923	Amphiprion clarkii	not applicable	tail fin	male	2014-06-13	adult
APCL14_098_L0924	L0924	Amphiprion clarkii	not applicable	tail fin	female	2014-06-13	adult
APCL14_101_L0925	L0925	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_135_L0926	L0926	Amphiprion clarkii	not applicable	tail fin	female	2014-06-16	adult
