sample_name	ligation_id	organism	isolate	tissue	sex	collection_date
APCL13_168	L1113	Amphiprion clarkii	not applicable	tail fin	J	2013-05-26
APCL15_089	L3038	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_406164	L2777	Amphiprion clarkii	not applicable	tail fin	M	2015-05-31
APCL15_404585	L2888	Amphiprion clarkii	not applicable	tail fin	F	2015-06-01
APCL15_042	L2999	Amphiprion clarkii	not applicable	tail fin	J	2015-06-01
APCL16_432	L5159	Amphiprion clarkii	not applicable	tail fin	F	2016-05-31
APCL16_418	L5147	Amphiprion clarkii	not applicable	tail fin	J	2016-05-31
APCL12_203	L3042	Amphiprion clarkii	not applicable	tail fin	J	2012-05-11
APCL16_375	L5117	Amphiprion clarkii	not applicable	tail fin	F	2016-05-30
APCL12_095	L1763	Amphiprion clarkii	not applicable	tail fin	F	2012-05-09
APCL15_364065	L2865	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL16_425	L5153	Amphiprion clarkii	not applicable	tail fin	M	2016-05-31
APCL16_302	L5063	Amphiprion clarkii	not applicable	tail fin	J	2016-05-28
APCL16_558	L5257	Amphiprion clarkii	not applicable	tail fin	J	2016-06-04
APCL16_465	L5188	Amphiprion clarkii	not applicable	tail fin	F	2016-06-02
APCL12_073	L2473	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL13_166	L1111	Amphiprion clarkii	not applicable	tail fin	J	2013-05-26
APCL12_116	L1773	Amphiprion clarkii	not applicable	tail fin	J	2012-05-09
APCL12_175	L2428	Amphiprion clarkii	not applicable	tail fin	J	2012-05-10
APCL16_431	L5158	Amphiprion clarkii	not applicable	tail fin	J	2016-05-31
APCL15_374151	L2940	Amphiprion clarkii	not applicable	tail fin	F	2015-05-29
APCL15_404653	L3070	Amphiprion clarkii	not applicable	tail fin	M	2015-05-31
APCL15_355592	L2950	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL15_407622	L2791	Amphiprion clarkii	not applicable	tail fin	F	2015-05-31
APCL15_407105	L2767	Amphiprion clarkii	not applicable	tail fin	M	2015-05-31
APCL15_355398	L2745	Amphiprion clarkii	not applicable	tail fin	F	2015-06-05
APCL15_373292	L2961	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL15_403040	L2832	Amphiprion clarkii	not applicable	tail fin	F	2015-05-30
APCL12_075	L2419	Amphiprion clarkii	not applicable	tail fin	M	2012-05-09
APCL12_107	L1767	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL16_395	L5130	Amphiprion clarkii	not applicable	tail fin	M	2016-05-31
APCL15_073	L2889	Amphiprion clarkii	not applicable	tail fin	J	2015-06-04
APCL16_525	L5233	Amphiprion clarkii	not applicable	tail fin	J	2016-06-03
APCL12_209	L2228	Amphiprion clarkii	not applicable	tail fin	J	2012-05-11
APCL12_194	L2278	Amphiprion clarkii	not applicable	tail fin	M	2012-05-11
APCL15_043	L3110	Amphiprion clarkii	not applicable	tail fin	J	2015-06-01
APCL15_375443	L2835	Amphiprion clarkii	not applicable	tail fin	J	2015-05-29
APCL12_124	L2346	Amphiprion clarkii	not applicable	tail fin	J	2012-05-09
APCL16_516	L5223	Amphiprion clarkii	not applicable	tail fin	M	2016-06-03
APCL15_353379	L2797	Amphiprion clarkii	not applicable	tail fin	J	2015-05-31
APCL15_159	L3039	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL15_151	L2956	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL15_403855	L3108	Amphiprion clarkii	not applicable	tail fin	J	2015-05-30
APCL16_311	L5069	Amphiprion clarkii	not applicable	tail fin	M	2016-05-28
APCL12_195	L2574	Amphiprion clarkii	not applicable	tail fin	J	2012-05-11
APCL15_373624	L2893	Amphiprion clarkii	not applicable	tail fin	F	2015-06-01
APCL12_051	L2202	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08
APCL15_371727	L2837	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL12_098	L2213	Amphiprion clarkii	not applicable	tail fin	F	2012-05-09
APCL15_363411	L2811	Amphiprion clarkii	not applicable	tail fin	F	2015-06-04
APCL12_023	L2552	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-06
APCL12_153	L1777	Amphiprion clarkii	not applicable	tail fin	M	2012-05-10
APCL12_165	L2381	Amphiprion clarkii	not applicable	tail fin	M	2012-05-10
APCL15_018	L2911	Amphiprion clarkii	not applicable	tail fin	J	2015-05-30
APCL12_164	L2380	Amphiprion clarkii	not applicable	tail fin	M	2012-05-10
APCL16_461	L5184	Amphiprion clarkii	not applicable	tail fin	J	2016-06-02
APCL16_356	L5100	Amphiprion clarkii	not applicable	tail fin	J	2016-05-30
APCL15_093	L2746	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL12_191	L2572	Amphiprion clarkii	not applicable	tail fin	F	2012-05-11
APCL15_399551	L2790	Amphiprion clarkii	not applicable	tail fin	F	2015-05-31
APCL15_354327	L2774	Amphiprion clarkii	not applicable	tail fin	M	2015-06-04
APCL16_534	L5241	Amphiprion clarkii	not applicable	tail fin	M	2016-06-04
APCL15_371560	L3603	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL15_405921	L2902	Amphiprion clarkii	not applicable	tail fin	F	2015-06-01
APCL16_559	L5258	Amphiprion clarkii	not applicable	tail fin	M	2016-06-04
APCL15_372739	L2833	Amphiprion clarkii	not applicable	tail fin	NA	2015-05-29
APCL16_521	L5229	Amphiprion clarkii	not applicable	tail fin	J	2016-06-03
APCL15_374990	L2826	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL15_375827	L2827	Amphiprion clarkii	not applicable	tail fin	J	2015-05-28
APCL12_061	L2414	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL12_049	L1756	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08
APCL16_291	L5053	Amphiprion clarkii	not applicable	tail fin	M	2016-05-27
APCL16_391	L5125	Amphiprion clarkii	not applicable	tail fin	J	2016-05-31
APCL15_404134	L2854	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL15_356515	L2852	Amphiprion clarkii	not applicable	tail fin	F	2015-06-14
APCL13_154	L0436	Amphiprion clarkii	not applicable	tail fin	J	2013-05-26
APCL16_442	L5168	Amphiprion clarkii	not applicable	tail fin	M	2016-06-02
APCL12_059	L2363	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL15_355260	L2857	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL12_101	L2367	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL15_095	L2742	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_374017	L2817	Amphiprion clarkii	not applicable	tail fin	M	2015-05-28
APCL16_333	L5082	Amphiprion clarkii	not applicable	tail fin	M	2016-05-29
APCL15_157	L2966	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL15_021	L2995	Amphiprion clarkii	not applicable	tail fin	J	2015-05-31
APCL16_405	L5137	Amphiprion clarkii	not applicable	tail fin	M	2016-05-31
APCL15_402510	L2913	Amphiprion clarkii	not applicable	tail fin	M	2015-05-31
APCL13_156	L0437	Amphiprion clarkii	not applicable	tail fin	F	2013-05-26
APCL12_146	L2376	Amphiprion clarkii	not applicable	tail fin	F	2012-05-10
APCL15_374542	L2942	Amphiprion clarkii	not applicable	tail fin	M	2015-05-28
APCL16_529	L5237	Amphiprion clarkii	not applicable	tail fin	J	2016-06-03
APCL13_223	L0258	Amphiprion clarkii	not applicable	tail fin	J	2013-05-27
APCL16_332	L5081	Amphiprion clarkii	not applicable	tail fin	F	2016-05-29
APCL15_372245	L2955	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL16_335	L5083	Amphiprion clarkii	not applicable	tail fin	J	2016-05-29
APCL15_405197	L3099	Amphiprion clarkii	not applicable	tail fin	F	2015-06-01
APCL12_118	L1774	Amphiprion clarkii	not applicable	tail fin	M	2012-05-09
APCL16_430	L5157	Amphiprion clarkii	not applicable	tail fin	F	2016-05-31
APCL16_392	L5126	Amphiprion clarkii	not applicable	tail fin	F	2016-05-31
APCL16_437	L5164	Amphiprion clarkii	not applicable	tail fin	M	2016-05-31
APCL15_094	L2744	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL16_447	L5173	Amphiprion clarkii	not applicable	tail fin	M	2016-06-02
APCL15_356182	L2964	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL15_355505	L2861	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL12_108	L1768	Amphiprion clarkii	not applicable	tail fin	F	2012-05-09
APCL16_452	L5179	Amphiprion clarkii	not applicable	tail fin	M	2016-06-02
APCL15_155	L3068	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL15_399614	L2776	Amphiprion clarkii	not applicable	tail fin	M	2015-05-31
APCL16_460	L5183	Amphiprion clarkii	not applicable	tail fin	M	2016-06-02
APCL16_445	L5171	Amphiprion clarkii	not applicable	tail fin	M	2016-06-02
APCL16_312	L5070	Amphiprion clarkii	not applicable	tail fin	F	2016-05-28
APCL15_373608	L2949	Amphiprion clarkii	not applicable	tail fin	J	2015-05-29
APCL15_373608	L4984	Amphiprion clarkii	not applicable	tail fin	J	2015-05-29
APCL15_356778	L3104	Amphiprion clarkii	not applicable	tail fin	M	2015-06-04
APCL15_373116	L2963	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL16_410	L5141	Amphiprion clarkii	not applicable	tail fin	M	2016-05-31
APCL12_113	L1772	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL12_066	L2417	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL12_076	L2564	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL15_374364	L3055	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL15_407028	L2793	Amphiprion clarkii	not applicable	tail fin	M	2015-05-30
APCL15_356529	L2998	Amphiprion clarkii	not applicable	tail fin	J	2015-06-04
APCL12_103	L2270	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL12_036	L2355	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08
APCL15_356535	L2855	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL15_399571	L2771	Amphiprion clarkii	not applicable	tail fin	M	2015-06-01
APCL15_075	L3044	Amphiprion clarkii	not applicable	tail fin	J	2015-06-04
APCL13_127	L1090	Amphiprion clarkii	not applicable	tail fin	F	2013-05-25
APCL12_145	L2567	Amphiprion clarkii	not applicable	tail fin	M	2012-05-10
APCL12_033	L2465	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08
APCL15_354219	L2965	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL16_542	L5249	Amphiprion clarkii	not applicable	tail fin	M	2016-06-04
APCL15_403866	L2920	Amphiprion clarkii	not applicable	tail fin	F	2015-05-30
APCL12_096	L2268	Amphiprion clarkii	not applicable	tail fin	J	2012-05-09
APCL16_462	L5185	Amphiprion clarkii	not applicable	tail fin	M	2016-06-02
APCL15_370215	L3102	Amphiprion clarkii	not applicable	tail fin	F	2015-06-04
APCL15_355518	L3106	Amphiprion clarkii	not applicable	tail fin	F	2015-06-04
APCL15_404545	L2897	Amphiprion clarkii	not applicable	tail fin	M	2015-05-31
APCL16_303	L5064	Amphiprion clarkii	not applicable	tail fin	M	2016-05-28
APCL15_038	L2891	Amphiprion clarkii	not applicable	tail fin	J	2015-06-01
APCL15_373033	L2941	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL16_360	L5104	Amphiprion clarkii	not applicable	tail fin	J	2016-05-30
APCL16_436	L5163	Amphiprion clarkii	not applicable	tail fin	M	2016-05-31
APCL12_060	L2413	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL15_371354	L2945	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL12_119	L2218	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL15_407137	L2778	Amphiprion clarkii	not applicable	tail fin	M	2015-05-30
APCL12_201	L2282	Amphiprion clarkii	not applicable	tail fin	M	2012-05-11
APCL16_343	L5089	Amphiprion clarkii	not applicable	tail fin	J	2016-05-29
APCL16_353	L5097	Amphiprion clarkii	not applicable	tail fin	M	2016-05-30
APCL16_399	L5133	Amphiprion clarkii	not applicable	tail fin	J	2016-05-31
APCL16_487	L5205	Amphiprion clarkii	not applicable	tail fin	M	2016-06-03
APCL16_544	L5250	Amphiprion clarkii	not applicable	tail fin	M	2016-06-04
APCL15_400919	L3062	Amphiprion clarkii	not applicable	tail fin	M	2015-05-30
APCL16_409	L5140	Amphiprion clarkii	not applicable	tail fin	M	2016-05-31
APCL15_374268	L2836	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL15_375493	L3084	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL15_355265	L2859	Amphiprion clarkii	not applicable	tail fin	F	2015-06-14
APCL15_407195	L2992	Amphiprion clarkii	not applicable	tail fin	M	2015-05-31
APCL12_112	L2368	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL15_407055	L3072	Amphiprion clarkii	not applicable	tail fin	J	2015-05-31
APCL15_355486	L3056	Amphiprion clarkii	not applicable	tail fin	M	2015-06-04
APCL15_014	L2898	Amphiprion clarkii	not applicable	tail fin	J	2015-05-30
APCL16_427	L5154	Amphiprion clarkii	not applicable	tail fin	J	2016-05-31
APCL15_402770	L3049	Amphiprion clarkii	not applicable	tail fin	M	2015-06-01
APCL12_155	L2568	Amphiprion clarkii	not applicable	tail fin	J	2012-05-10
APCL15_373816	L2983	Amphiprion clarkii	not applicable	tail fin	J	2015-06-01
APCL16_513	L5221	Amphiprion clarkii	not applicable	tail fin	M	2016-06-03
APCL15_355054	L3040	Amphiprion clarkii	not applicable	tail fin	M	2015-06-04
APCL16_368	L5112	Amphiprion clarkii	not applicable	tail fin	J	2016-05-30
APCL12_138	L2223	Amphiprion clarkii	not applicable	tail fin	F	2012-05-10
APCL12_154	L2477	Amphiprion clarkii	not applicable	tail fin	F	2012-05-10
APCL12_136	L2566	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-10
APCL15_026	L2894	Amphiprion clarkii	not applicable	tail fin	J	2015-05-31
APCL15_403062	L2912	Amphiprion clarkii	not applicable	tail fin	F	2015-05-30
APCL15_375761	L2831	Amphiprion clarkii	not applicable	tail fin	F	2015-05-28
APCL15_374351	L2937	Amphiprion clarkii	not applicable	tail fin	J	2015-05-29
APCL15_010	L2923	Amphiprion clarkii	not applicable	tail fin	J	2015-05-30
APCL12_067	L2471	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL15_371294	L2996	Amphiprion clarkii	not applicable	tail fin	F	2015-05-29
APCL15_024	L2985	Amphiprion clarkii	not applicable	tail fin	J	2015-05-31
APCL16_347	L5092	Amphiprion clarkii	not applicable	tail fin	F	2016-05-29
APCL15_354642	L2892	Amphiprion clarkii	not applicable	tail fin	M	2015-06-04
APCL12_210	L2229	Amphiprion clarkii	not applicable	tail fin	M	2012-05-11
APCL12_086	L2266	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL16_446	L5172	Amphiprion clarkii	not applicable	tail fin	F	2016-06-02
APCL15_354523	L2747	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL16_357	L5101	Amphiprion clarkii	not applicable	tail fin	F	2016-05-30
APCL16_441	L5167	Amphiprion clarkii	not applicable	tail fin	M	2016-06-02
APCL15_375526	L2938	Amphiprion clarkii	not applicable	tail fin	M	2015-05-28
APCL15_370980	L2813	Amphiprion clarkii	not applicable	tail fin	J	2015-05-28
APCL16_413	L5144	Amphiprion clarkii	not applicable	tail fin	J	2016-05-31
APCL12_024	L2553	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-06
APCL15_372081	L2768	Amphiprion clarkii	not applicable	tail fin	F	2015-06-04
APCL16_504	L5215	Amphiprion clarkii	not applicable	tail fin	J	2016-06-03
APCL15_019	L3051	Amphiprion clarkii	not applicable	tail fin	J	2015-05-30
APCL15_368862	L2853	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL13_164	L0439	Amphiprion clarkii	not applicable	tail fin	M	2013-05-26
APCL12_171	L2277	Amphiprion clarkii	not applicable	tail fin	F	2012-05-10
APCL16_309	L5068	Amphiprion clarkii	not applicable	tail fin	F	2016-05-28
APCL13_126	L1089	Amphiprion clarkii	not applicable	tail fin	M	2013-05-25
APCL15_356001	L2890	Amphiprion clarkii	not applicable	tail fin	F	2015-06-04
APCL15_406738	L2936	Amphiprion clarkii	not applicable	tail fin	M	2015-05-30
APCL15_373270	L3005	Amphiprion clarkii	not applicable	tail fin	J	2015-05-28
APCL12_039	L2406	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08
APCL15_404572	L3010	Amphiprion clarkii	not applicable	tail fin	M	2015-05-30
APCL16_362	L5106	Amphiprion clarkii	not applicable	tail fin	J	2016-05-30
APCL15_368057	L2954	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL15_402340	L2921	Amphiprion clarkii	not applicable	tail fin	M	2015-05-30
APCL15_369541	L2862	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL12_158	L2479	Amphiprion clarkii	not applicable	tail fin	J	2012-05-10
APCL15_373373	L2798	Amphiprion clarkii	not applicable	tail fin	F	2015-05-29
APCL12_022	L1733	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-06
APCL16_359	L5103	Amphiprion clarkii	not applicable	tail fin	M	2016-05-30
APCL16_390	L5124	Amphiprion clarkii	not applicable	tail fin	M	2016-05-31
APCL12_072	L2418	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL12_050	L1757	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08
APCL12_028	L2464	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-06
APCL15_405714	L2989	Amphiprion clarkii	not applicable	tail fin	M	2015-05-30
APCL16_420	L5149	Amphiprion clarkii	not applicable	tail fin	J	2016-05-31
APCL12_134	L2373	Amphiprion clarkii	not applicable	tail fin	J	2012-05-10
APCL12_070	L2264	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL16_411	L5142	Amphiprion clarkii	not applicable	tail fin	F	2016-05-31
APCL16_307	L5066	Amphiprion clarkii	not applicable	tail fin	M	2016-05-28
APCL16_419	L5148	Amphiprion clarkii	not applicable	tail fin	J	2016-05-31
APCL12_137	L2475	Amphiprion clarkii	not applicable	tail fin	M	2012-05-10
APCL15_375516	L3057	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL15_373375	L2834	Amphiprion clarkii	not applicable	tail fin	NA	2015-05-29
APCL12_205	L2227	Amphiprion clarkii	not applicable	tail fin	J	2012-05-11
APCL12_205	L5176	Amphiprion clarkii	not applicable	tail fin	J	2012-05-11
APCL15_399705	L2903	Amphiprion clarkii	not applicable	tail fin	M	2015-05-31
APCL12_055	L2361	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL12_032	L2259	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08
APCL12_157	L2478	Amphiprion clarkii	not applicable	tail fin	J	2012-05-10
APCL12_199	L2281	Amphiprion clarkii	not applicable	tail fin	J	2012-05-11
APCL16_421	L5150	Amphiprion clarkii	not applicable	tail fin	M	2016-05-31
APCL16_508	L5218	Amphiprion clarkii	not applicable	tail fin	F	2016-06-03
APCL15_402874	L2787	Amphiprion clarkii	not applicable	tail fin	M	2015-05-31
APCL12_185	L2484	Amphiprion clarkii	not applicable	tail fin	M	2012-05-11
APCL15_370907	L2914	Amphiprion clarkii	not applicable	tail fin	J	2015-05-29
APCL15_370820	L2953	Amphiprion clarkii	not applicable	tail fin	F	2015-06-14
APCL15_371463	L3081	Amphiprion clarkii	not applicable	tail fin	M	2015-05-28
APCL12_125	L2222	Amphiprion clarkii	not applicable	tail fin	M	2012-05-09
APCL12_128	L3119	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-10
APCL12_193	L2383	Amphiprion clarkii	not applicable	tail fin	J	2012-05-11
APCL16_297	L5059	Amphiprion clarkii	not applicable	tail fin	F	2016-05-27
APCL15_156	L2967	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL15_372957	L2934	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL16_448	L5174	Amphiprion clarkii	not applicable	tail fin	F	2016-06-02
APCL15_148	L2948	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL15_041	L2749	Amphiprion clarkii	not applicable	tail fin	J	2015-06-01
APCL12_133	L2372	Amphiprion clarkii	not applicable	tail fin	J	2012-05-10
APCL12_183	L2569	Amphiprion clarkii	not applicable	tail fin	F	2012-05-11
APCL16_345	L5091	Amphiprion clarkii	not applicable	tail fin	J	2016-05-29
APCL16_396	L5131	Amphiprion clarkii	not applicable	tail fin	J	2016-05-31
APCL15_040	L3022	Amphiprion clarkii	not applicable	tail fin	J	2015-06-01
APCL12_135	L2474	Amphiprion clarkii	not applicable	tail fin	J	2012-05-10
APCL15_372291	L2820	Amphiprion clarkii	not applicable	tail fin	M	2015-05-28
APCL15_354107	L2755	Amphiprion clarkii	not applicable	tail fin	M	2015-06-04
APCL15_370885	L2918	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL15_355926	L2770	Amphiprion clarkii	not applicable	tail fin	M	2015-06-04
APCL12_139	L2374	Amphiprion clarkii	not applicable	tail fin	M	2012-05-10
APCL15_044	L2993	Amphiprion clarkii	not applicable	tail fin	J	2015-06-01
APCL15_371708	L2789	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL15_373422	L2816	Amphiprion clarkii	not applicable	tail fin	F	2015-05-29
APCL12_088	L1760	Amphiprion clarkii	not applicable	tail fin	M	2012-05-09
APCL15_375598	L2909	Amphiprion clarkii	not applicable	tail fin	F	2015-05-29
APCL15_355045	L2844	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL15_374441	L3063	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL16_406	L5138	Amphiprion clarkii	not applicable	tail fin	F	2016-05-31
APCL15_375659	L3060	Amphiprion clarkii	not applicable	tail fin	F	2015-06-01
APCL12_156	L2378	Amphiprion clarkii	not applicable	tail fin	F	2012-05-10
APCL16_532	L5240	Amphiprion clarkii	not applicable	tail fin	J	2016-06-03
APCL15_013	L2947	Amphiprion clarkii	not applicable	tail fin	J	2015-05-30
APCL12_197	L2279	Amphiprion clarkii	not applicable	tail fin	F	2012-05-11
APCL15_407082	L2828	Amphiprion clarkii	not applicable	tail fin	M	2015-05-30
APCL12_176	L1780	Amphiprion clarkii	not applicable	tail fin	F	2012-05-10
APCL12_064	L2416	Amphiprion clarkii	not applicable	tail fin	F	2012-05-09
APCL12_093	L1762	Amphiprion clarkii	not applicable	tail fin	M	2012-05-09
APCL12_212	L2288	Amphiprion clarkii	not applicable	tail fin	J	2012-05-11
APCL15_354185	L2847	Amphiprion clarkii	not applicable	tail fin	M	2015-06-14
APCL15_370935	L2780	Amphiprion clarkii	not applicable	tail fin	F	2015-05-29
APCL13_315	L0346	Amphiprion clarkii	not applicable	tail fin	M	2013-05-28
APCL15_404146	L2915	Amphiprion clarkii	not applicable	tail fin	J	2015-05-31
APCL15_399786	L2939	Amphiprion clarkii	not applicable	tail fin	M	2015-05-30
APCL15_147	L2840	Amphiprion clarkii	not applicable	tail fin	J	2015-06-14
APCL12_046	L2411	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08
APCL12_077	L2265	Amphiprion clarkii	not applicable	tail fin	M	2012-05-09
APCL15_403892	L2752	Amphiprion clarkii	not applicable	tail fin	F	2015-06-01
APCL12_168	L2481	Amphiprion clarkii	not applicable	tail fin	J	2012-05-10
APCL16_292	L5054	Amphiprion clarkii	not applicable	tail fin	J	2016-05-27
APCL16_364	L5108	Amphiprion clarkii	not applicable	tail fin	J	2016-05-30
APCL15_001	L2823	Amphiprion clarkii	not applicable	tail fin	M	2015-05-28
APCL16_531	L5239	Amphiprion clarkii	not applicable	tail fin	M	2016-06-03
APCL15_372487	L2751	Amphiprion clarkii	not applicable	tail fin	M	2015-06-04
APCL15_355541	L2959	Amphiprion clarkii	not applicable	tail fin	F	2015-06-14
APCL15_373511	L2750	Amphiprion clarkii	not applicable	tail fin	M	2015-06-01
APCL15_374493	L3640	Amphiprion clarkii	not applicable	tail fin	M	2015-06-01
APCL15_355870	L2843	Amphiprion clarkii	not applicable	tail fin	F	2015-06-14
APCL15_069	L2982	Amphiprion clarkii	not applicable	tail fin	J	2015-06-04
APCL15_076	L3076	Amphiprion clarkii	not applicable	tail fin	J	2015-06-04
APCL15_071	L3035	Amphiprion clarkii	not applicable	tail fin	J	2015-06-04
APCL16_438	L5165	Amphiprion clarkii	not applicable	tail fin	M	2016-06-02
APCL15_372325	L2743	Amphiprion clarkii	not applicable	tail fin	F	2015-06-05
APCL12_057	L2562	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL16_308	L5067	Amphiprion clarkii	not applicable	tail fin	M	2016-05-28
APCL16_299	L5061	Amphiprion clarkii	not applicable	tail fin	M	2016-05-27
APCL15_372956	L2801	Amphiprion clarkii	not applicable	tail fin	M	2015-05-29
APCL15_354587	L3050	Amphiprion clarkii	not applicable	tail fin	M	2015-06-04
APCL16_401	L5134	Amphiprion clarkii	not applicable	tail fin	F	2016-05-31
APCL12_196	L2429	Amphiprion clarkii	not applicable	tail fin	J	2012-05-11
APCL15_090	L3086	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_404420	L2806	Amphiprion clarkii	not applicable	tail fin	M	2015-06-01
APCL16_344	L5090	Amphiprion clarkii	not applicable	tail fin	F	2016-05-29
APCL15_356440	L2896	Amphiprion clarkii	not applicable	tail fin	F	2015-06-04
APCL16_557	L5256	Amphiprion clarkii	not applicable	tail fin	J	2016-06-04
APCL15_372286	L2846	Amphiprion clarkii	not applicable	tail fin	F	2015-05-29
APCL16_293	L5055	Amphiprion clarkii	not applicable	tail fin	F	2016-05-27
APCL16_538	L5245	Amphiprion clarkii	not applicable	tail fin	J	2016-06-04
APCL15_368961	L2866	Amphiprion clarkii	not applicable	tail fin	F	2015-06-14
APCL15_064	L2981	Amphiprion clarkii	not applicable	tail fin	J	2015-06-04
APCL16_326	L5077	Amphiprion clarkii	not applicable	tail fin	F	2016-05-29
APCL15_406037	L2824	Amphiprion clarkii	not applicable	tail fin	M	2015-05-30
APCL12_069	L2263	Amphiprion clarkii	not applicable	tail fin	M	2012-05-09
APCL12_166	L2276	Amphiprion clarkii	not applicable	tail fin	J	2012-05-10
APCL16_376	L5118	Amphiprion clarkii	not applicable	tail fin	M	2016-05-30
APCL16_327	L5078	Amphiprion clarkii	not applicable	tail fin	J	2016-05-29
APCL12_079	L2565	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09
APCL16_350	L5094	Amphiprion clarkii	not applicable	tail fin	M	2016-05-30
APCL16_549	L5252	Amphiprion clarkii	not applicable	tail fin	M	2016-06-04
APCL12_104	L1765	Amphiprion clarkii	not applicable	tail fin	F	2012-05-09
APCL15_407553	L2901	Amphiprion clarkii	not applicable	tail fin	J	2015-05-30
APCL12_140	L2423	Amphiprion clarkii	not applicable	tail fin	M	2012-05-10
APCL12_170	L1779	Amphiprion clarkii	not applicable	tail fin	F	2012-05-10
APCL16_444	L5170	Amphiprion clarkii	not applicable	tail fin	F	2016-06-02
APCL12_141	L2375	Amphiprion clarkii	not applicable	tail fin	J	2012-05-10
