Sample_Name	Ligation_ID	BioProject accession	Organism	tissue	geographic location	sex	isolate	Lat	Lon	Anem_ID	Collection_Date	Size	Size_type	Tail_color	dev_stage	Collector	Notes
APCL13_352_L0837	L0837	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.858381	124.7244	206	2013-05-29	6.7	FL	YP	adult	MLP	
APCL13_353_L0838	L0838	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.858381	124.7244	206	2013-05-29	3.6	FL	YR	NA	MLP	
APCL13_357_L0839	L0839	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.85842	124.724361	208	2013-05-29	3	FL	YR	NA	MLP	
APCL13_383_L0840	L0840	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.85673	124.725313	221	2013-05-29	6.1	FL	W	NA	MLP	
APCL13_393_L0841	L0841	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.86913	124.716418	226	2013-05-30	4.1	FL	YR	NA	MLP	
APCL13_411_L0842	L0842	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869481	124.716266	240	2013-05-30	7.9	FL	YR	adult	MLP	
APCL13_142_L0848	L0848	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.652782	124.783648	79	2013-05-26	4.2	FL	W	NA	MLP	
APCL13_094_L0849	L0849	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.806378	124.766045	53	2013-05-25	4.1	FL	W	NA	MLP	
APCL13_442_L0850	L0850	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873895	124.710503	254	2013-05-31	2.7	FL	YR	NA	MLP	
APCL13_449_L0851	L0851	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873849	124.71059	256	2013-05-31	4.5	FL	YR	NA	MLP	
APCL13_450_L0856	L0856	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873751	124.710786	257	2013-05-31	7.7	FL	O	adult	MLP	
APCL13_454_L0877	L0877	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873714	124.710803	259	2013-05-31	2.5	FL	W	NA	MLP	
APCL13_048_L0881	L0881	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756284	124.785799	29	2013-05-23	4	FL	W	NA	MLP	
APCL14_507_L0938	L0938	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.798448	124.768651	702	2014-06-29	8.4	FL	Y	adult	MRS	
APCL14_527_L0939	L0939	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769186	124.783696	715	2014-06-29	4.2	FL	WR	NA	MRS	
APCL14_530_L0940	L0940	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769002	124.783737	716	2014-06-29	6.4	FL	Y	NA	MRS	
APCL14_534_L0941	L0941	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.755992	124.785637	720	2014-07-01	4.1	FL	WR	NA	MRS	
APCL14_442_L0966	L0966	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871634	124.714112	667	2014-06-24	5	FL	WR	NA	MRS	
APCL14_496_L0968	L0968	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.809147	124.765319	697	2014-06-28	9.1	FL	O	adult	MRS	
APCL14_500_L0969	L0969	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.809252	124.765348	699	2014-06-28	8.8	FL	Y	adult	MRS	
APCL14_526_L0970	L0970	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769317	124.783583	714	2014-06-29	8.5	FL	YP	adult	MRS	
APCL14_528_L0971	L0971	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769154	124.783695	NA	2014-06-29	9	FL	O	adult	MRS	
